id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2693624,Convenient 1 BR/1 BA Near Music Row,13785710,Chase,District 19,36.14686931584792,-86.79448166194372,Entire home/apt,125,3,42,2015-06-29,3.25,1,213
3207994,Music City's Tiny House! ,2435389,Sarah & John,District 19,36.17496577179719,-86.79996719694415,Entire home/apt,119,1,108,2015-06-28,8.53,1,50
4552484,"A Capitol District Home, Nashville",10511535,Darrell,District 19,36.172236203109875,-86.79167475283708,Entire home/apt,200,2,10,2015-06-28,1.65,1,344
4257414,Perfect for Party People!,21068268,Chad,District 19,36.15569964439269,-86.77104426979777,Entire home/apt,900,2,20,2015-06-22,2.55,1,333
6879243,Cozy & Close to Everything,23433586,Joshua,District 19,36.15575610746082,-86.7662813833222,Private room,85,1,0,,,2,358
4258125,Beautiful Downtown Nashville Loft,21293271,Breean,District 19,36.16378599034038,-86.77941550271001,Entire home/apt,199,2,6,2015-01-19,0.70,2,0
1614528,Downtown Condo on the River,8594360,Nicole,District 19,36.169621288986114,-86.78362216954991,Entire home/apt,165,2,75,2015-06-22,3.44,2,330
6356345,Beautiful Vanderbilt apartment,33113948,Harrison,District 19,36.14797061572481,-86.79870619674705,Entire home/apt,75,1,8,2015-06-27,5.11,1,357
6893603,Walkable to EVERYTHING in Midtown!,27639620,StayLocalNashville,District 19,36.15011561984099,-86.79493580739158,Entire home/apt,250,1,0,,,14,346
2699594,UNIQUE LOFT ON DOWNTOWN BROADWAY!,1099118,Drew And Cayla,District 19,36.16200024687969,-86.77748966482078,Entire home/apt,325,2,36,2015-06-28,3.45,2,341
