room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17876754,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:01:35.253438,36.150806,-86.783122,0101000020E6100000CDB1BCAB1EB255C032056B9C4D134240
17865650,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,4,1.0,,999.0,,2017-05-16 09:01:35.233045,36.150109,-86.78354,0101000020E6100000E7C6F48425B255C0EAEA8EC536134240
17143952,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:01:35.218661,36.162425,-86.780353,0101000020E61000007995B54DF1B155C0C286A757CA144240
17876535,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:01:35.198932,36.152203,-86.782064,0101000020E610000041D829560DB255C032AD4D637B134240
17936577,1271,26766131,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,799.0,,2017-05-16 09:01:33.908725,36.163673,-86.780461,0101000020E61000006CB3B112F3B155C07E1EA33CF3144240
6255635,1271,16246720,Entire home/apt,,Nashville,,19,4,4.5,16,1.0,,800.0,,2017-05-16 09:01:33.890860,36.163767,-86.775708,0101000020E6100000B7CF2A33A5B155C0FF942A51F6144240
16310654,1271,105602635,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,899.0,,2017-05-16 09:01:33.877212,36.167411,-86.784101,0101000020E6100000B3F0F5B52EB255C0CEFE40B96D154240
17734166,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,4,1.0,,999.0,,2017-05-16 09:01:33.845169,36.156585,-86.766939,0101000020E6100000B9C1508715B155C0A7052FFA0A144240
17143957,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:01:32.190884,36.16177,-86.781931,0101000020E6100000A12E52280BB255C0A9BC1DE1B4144240
17866237,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,6,2.0,,999.0,,2017-05-16 09:01:32.180584,36.150289,-86.781658,0101000020E610000008AA46AF06B255C06AF981AB3C134240
17865752,1271,4962900,Entire home/apt,,Nashville,,19,0,0.0,4,1.0,,999.0,,2017-05-16 09:01:31.094704,36.15038,-86.78185,0101000020E61000002B1895D409B255C07AFCDEA63F134240
14696283,1271,72969482,Entire home/apt,,Nashville,,17,9,5.0,14,4.0,,800.0,,2017-05-16 09:01:29.108438,36.13668,-86.765816,0101000020E61000003AB01C2103B155C03602F1BA7E114240
17865601,1271,4962900,Entire home/apt,,Nashville,,19,1,0.0,6,2.0,,999.0,,2017-05-16 09:01:29.094168,36.152265,-86.782299,0101000020E6100000622CD32F11B255C0A8A9656B7D134240
8388694,1271,39918714,Entire home/apt,,Nashville,,18,26,5.0,12,4.0,,775.0,,2017-05-16 09:01:29.090885,36.128723,-86.789231,0101000020E6100000527FBDC282B255C01B9FC9FE79104240
17143959,1271,114353388,Entire home/apt,,Nashville,,19,0,0.0,5,2.0,,899.0,,2017-05-16 09:01:29.073133,36.162225,-86.781082,0101000020E6100000A25F5B3FFDB155C0FBCBEEC9C3144240
18601390,1271,9865117,Entire home/apt,,Nashville,,19,0,0.0,10,4.0,,700.0,,2017-05-16 09:01:28.971637,36.180623,-86.792956,0101000020E6100000B0CA85CABFB255C0E4F38AA71E174240
16310813,1271,105602635,Entire home/apt,,Nashville,,19,1,0.0,6,2.0,,899.0,,2017-05-16 09:01:28.936311,36.167347,-86.783856,0101000020E61000007F315BB22AB255C0B70A62A06B154240
